benchmark,row_block,boundary_term,term_role,a1_eq23_side,a1_eq23_sign,code_side,code_sign,matches_a1_eq23,a1_source,code_source,candidate_that_changes_this_sign,candidate_result_from_latest_projection,default_promotion_decision,diagnostic_conclusion,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,body_row,body_normal_derivative_B_body_phi_n_body,known_rhs,rhs,+,rhs,+,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,,,current_default_matches_A1_Eq23_sign_map,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,body_row,inner_free_surface_potential_A_free_phi_free,known_rhs,rhs,-,rhs,-,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,known_phi_free_rhs_flipped,global sign-flip candidates previously rejected in free-surface block audits,reject_default_promotion_until_A1_normal_or_unknown_definition_is_rederived,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_row,body_normal_derivative_B_body_phi_n_body,known_rhs,rhs,+,rhs,+,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,,,current_default_matches_A1_Eq23_sign_map,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_row,inner_free_surface_potential_A_free_phi_free,known_rhs,rhs,-,rhs,-,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,known_phi_free_rhs_flipped,global sign-flip candidates previously rejected in free-surface block audits,reject_default_promotion_until_A1_normal_or_unknown_definition_is_rederived,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,control_row,body_normal_derivative_B_body_phi_n_body,known_rhs,rhs,+,rhs,+,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,,,current_default_matches_A1_Eq23_sign_map,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,control_row,inner_free_surface_potential_A_free_phi_free,known_rhs,rhs,-,rhs,-,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,only_control_rhs_sign_flipped,pass=1/4; max_gate=3.47519; a33=FAIL@1.72209; a53=FAIL@3.47519,reject_default_promotion_until_A1_normal_or_unknown_definition_is_rederived,a33_numeric_sign_flip_conflicts_with_A1_Eq23_control_row_rhs_sign,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,all_inner_rows,body_potential_A_body_phi_body,unknown_lhs,lhs,+,lhs,+,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,,,current_default_matches_A1_Eq23_sign_map,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,all_inner_rows,inner_free_surface_normal_derivative_B_free_phi_n_free,unknown_lhs,lhs,-,lhs,-,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,only_control_rhs_unknown_normal_flipped,pass=1/4; max_gate=3.47519; a33=FAIL@1.72209; a53=FAIL@3.47519,reject_default_promotion_until_A1_normal_or_unknown_definition_is_rederived,a33_numeric_unknown_column_flip_conflicts_with_A1_Eq23_unknown_column_sign,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,all_inner_rows,control_potential_A_control_phi_control,unknown_lhs,lhs,+,lhs,+,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,,,current_default_matches_A1_Eq23_sign_map,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,all_inner_rows,control_normal_derivative_B_control_phi_n_control,unknown_lhs,lhs,-,lhs,-,True,A1.md lines 209-217 and 247; A1 Eq.23 applies for i=1..n1+n2+n3.,planing_seakeeping/kernels/linear_2p5d/formulation.py lines 3011-3019.,,,current_default_matches_A1_Eq23_sign_map,eq23_code_sign_matches_a1_formula,False,diagnostic_eq23_sign_mapping_not_hard_gate,INFO
