benchmark,candidate_name,candidate_order,coefficient_count,row_count,pass_count,fail_count,pass_fraction,improved_row_count,worsened_row_count,improves_but_still_fails_count,improves_this_coefficient_only_count,breaks_currently_passing_coefficient_count,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,median_forward_gradient_component_value,max_abs_forward_gradient_component_value,candidate_default_decision,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,phase_aligned_forward,5,8,8,0,8,0.0,4,3,4,0,1,34.67833099838393,78.4947774692896,-7.105427357601002e-15,36.232998770138074,-5.006134844349392e-16,8.875650562967076,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_central,4,8,8,0,8,0.0,4,3,4,0,1,55.64695901842049,110.05671111666808,-7.105427357601002e-15,57.00938823219037,-4.814213352123716e-16,7.418563774922677,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_forward,8,8,8,0,8,0.0,4,2,4,0,1,37.51010747116355,130.2368633108137,-1.6192021955477323,31.830125449051305,0.22639375957555002,7.952113031733108,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_backward,6,8,8,0,8,0.0,4,3,4,0,1,69.19344431910746,136.0112994223719,-7.105427357601002e-15,79.51285722074007,0.07543742386123765,5.879312117894821,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_forward,2,8,8,0,8,0.0,4,2,4,0,1,34.70865148692262,136.88817789150292,-1.458822365398234,18.803854633395957,0.1648446299715785,8.060369417084017,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_forward,11,8,8,0,8,0.0,4,2,4,0,1,34.6336953994457,137.81658987541996,-1.5337784528751577,18.188100866895578,0.1619351934248642,8.009774058037092,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_zero,13,8,8,0,8,0.0,4,2,4,0,1,34.28260838685023,145.29901062581644,-1.8848654654706216,25.580317031386915,0.19686341480208577,7.772790324535155,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_copy_second,14,8,8,0,8,0.0,4,2,4,0,1,36.30953361316199,145.99872855751096,-2.263382881403327,30.71733910475938,0.22113584409877066,7.517291068780576,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_central,7,8,8,0,8,0.0,4,2,4,0,1,36.54179100594639,149.8372140473404,-1.2149557002964535,29.084999528114448,0.21342303959912337,8.22497941602772,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_central,10,8,8,0,8,0.0,4,2,4,0,1,35.12141861598636,154.4889250634016,-1.0460552363344924,16.390169266290233,0.1534399666120039,8.338987229202047,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
