node_index,normal_displacement
0,0.0006489249594165292
1,0.0006491128224966759
2,0.0006497155054041709
3,0.0006507826840837089
4,0.0006523673914624719
5,0.0006545259863519942
6,0.0006573180634277559
7,0.0006608062920100981
8,0.0006650561698031665
9,0.0006701356760754433
10,0.0006761148079803341
11,0.0006830649804301046
12,0.0006910582713062454
13,0.0007001664897948318
14,0.0007104600489329948
15,0.0007220066173458594
16,0.0007348695339498367
17,0.0007491059631146103
18,0.000764764778766671
19,0.0007818841547367988
20,0.0008004888937362017
21,0.000820587403559496
22,0.0008421685579906174
23,0.0008651980392336947
24,0.0008896148219446861
25,0.0009153274095799431
26,0.0009422099176439177
27,0.0009700983418196998
28,0.000998787359463604
29,0.001028027287351945
30,0.0010575223023778855
31,0.0010869272832694891
32,0.001115850544291531
33,0.0011438535460088282
34,0.0011704553191430565
35,0.0011951382881293872
36,0.0012173570003856252
37,0.0012365505182043897
38,0.0012521568807024167
39,0.0012636318197580135
40,0.0012704712077112126
41,0.0012722355834195033
42,0.001268578281640684
43,0.001259274727802186
44,0.0012442524028658231
45,0.0012236195571188185
46,0.0011976905928218515
47,0.0011670056307896215
48,0.0011323412665010777
49,0.0010947097875135983
50,0.0010553435553594722
51,0.0010156618535121654
52,0.0009772184896036655
53,0.000941628918318586
54,0.0009104776863465285
55,0.000885209005594443
56,0.0008670055676921963
57,0.0008566635328434806
58,0.0008544743562543001
59,0.0008601264049158687
60,0.0008726410115531878
61,0.0008903578349643286
62,0.0009109829649676987
63,0.000931709394358548
64,0.0009494133621597586
65,0.0009609212908544722
66,0.0009633315381742458
67,0.0009543636208328079
68,0.0009326967111939517
69,0.0008982510521141553
70,0.0008523627819108004
71,0.0007978066637657599
72,0.0007386339966068923
73,0.0006798147827385562
74,0.0006267026613673828
75,0.000584374618050757
76,0.000556929375792597
77,0.0005468516370958263
78,0.0005545565972336702
79,0.0005782146855514633
80,0.0006139181843935945
81,0.0006561925461163623
82,0.0006987854477188008
83,0.0007356009816074976
84,0.000761602643198904
85,0.0007735028154124364
86,0.0007700965806259133
87,0.0007521799064989785
88,0.0007220981864873705
89,0.0006830707610193035
90,0.0006384967173067935
91,0.000591441463691601
92,0.000544426994618254
93,0.0004995232350321454
94,0.00045860929986958875
95,0.0004235971936611658
96,0.0003964274229000301
97,0.0003787605161184653
98,0.00037145719587910954
99,0.0003740840099731242
100,0.0003847195727447539
101,0.0004002304053082929
102,0.0004169693075748869
103,0.0004316275710116452
104,0.00044187204796742577
105,0.00044649563399154664
106,0.00044507255027884194
107,0.00043739529007297127
