test_no,froude_number,speed_m_s,omega_0_rad_s,omega_encounter_rad_s,wavelength_over_lpp,wave_amplitude_cm,surge_rao_cm_per_cm,surge_phase_deg,sway_rao_cm_per_cm,sway_phase_deg,heave_rao_cm_per_cm,heave_phase_deg,roll_rao_deg_per_cm,roll_phase_deg,pitch_rao_deg_per_cm,pitch_phase_deg,yaw_rao_deg_per_cm,yaw_phase_deg
8736,0.3,1.556,4.473,7.541,1.027,2.33,0.262,127.0,0.13,317.0,1.565,344.0,0.043,242.0,0.99,160.0,0.174,166.0
8731,0.3,1.618,5.063,9.149,0.802,2.19,0.095,128.0,0.044,4.0,0.933,266.0,0.075,157.0,0.665,148.0,0.104,168.0
8730,0.3,1.598,5.827,11.172,0.605,2.19,0.005,81.0,0.02,133.0,0.114,20.0,0.11,72.0,0.103,68.0,0.043,162.0
8748,0.6,3.327,3.209,6.587,1.995,2.72,0.109,157.0,0.086,83.0,2.115,3.0,0.101,23.0,1.112,207.0,0.14,197.0
8745,0.6,3.185,3.462,7.223,1.714,2.8,0.299,157.0,0.079,97.0,2.725,335.0,0.119,11.0,1.115,171.0,0.137,160.0
8742,0.6,3.246,3.823,8.492,1.406,2.39,0.364,105.0,0.049,136.0,2.419,284.0,0.14,348.0,0.69,150.0,0.068,129.0
8739,0.6,3.251,4.193,9.819,1.169,2.03,0.164,47.0,0.068,110.0,1.307,266.0,0.097,330.0,0.561,157.0,0.051,165.0
8735,0.6,3.295,4.569,11.348,0.984,1.7,0.063,110.0,0.124,78.0,0.475,241.0,0.045,282.0,0.358,140.0,0.052,157.0
8732,0.6,3.327,5.033,13.339,0.811,2.23,0.04,347.0,0.101,335.0,0.045,228.0,0.006,136.0,0.119,94.0,0.032,138.0
8749,0.75,4.081,3.187,7.273,2.023,2.6,0.568,119.0,0.09,93.0,2.999,325.0,0.145,24.0,0.822,164.0,0.091,138.0
8746,0.75,4.031,3.467,8.242,1.71,2.75,0.412,126.0,0.094,100.0,2.735,291.0,0.196,341.0,0.619,161.0,0.053,128.0
8741,0.75,4.129,3.834,9.819,1.397,2.33,0.845,105.0,0.077,96.0,1.534,247.0,0.116,289.0,0.586,143.0,0.035,136.0
8740,0.75,4.01,4.131,10.872,1.204,2.41,0.104,174.0,0.041,109.0,0.748,229.0,0.052,286.0,0.414,130.0,0.02,136.0
8734,0.75,4.03,4.506,12.568,1.012,2.29,0.185,207.0,0.067,46.0,0.246,218.0,0.031,225.0,0.227,112.0,0.038,143.0
8733,0.75,4.022,5.064,15.226,0.801,2.1,0.049,314.0,0.036,343.0,0.033,252.0,0.021,138.0,0.08,106.0,0.026,151.0
