benchmark,candidate_name,candidate_operation,omega_e_sqrt_l_over_g,omega_rad_s,candidate_force_real,candidate_force_imag,candidate_force_abs,candidate_force_phase_deg,reference_force_real,reference_force_imag,reference_force_abs,reference_force_phase_deg,reference_minus_candidate_phase_deg,candidate_abs_over_reference_abs,candidate_force_residual_norm,candidate_status,current_default_residual_norm,residual_improvement_vs_current,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,current_time_plus_gradient_plus_end,Current Eq.30/Eq.32 component composition: time + pressure-gradient + end-contour.,1.67,3.019368928821606,-14.58162344785001,-795.1522935740257,795.2859823474877,-91.05058094577328,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-62.834016359484025,1.7943712887873908,1.6066290277945718,FAIL,1.6066290277945718,0.0,current_time_pressure_phase_baseline,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_sign_flipped_plus_gradient_end,"Flip only the time-pressure force component, then add pressure-gradient and end-contour.",1.67,3.019368928821606,-314.7994955471336,-546.9387978268096,631.0632067907029,-119.92327683926793,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-33.96132046598939,1.4238421458566206,0.8157295586032101,PASS,1.6066290277945718,0.7908994691913618,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_plus_90_plus_gradient_end,"Rotate only the time-pressure force component by +90 degrees, then add pressure-gradient and end-contour.",1.67,3.019368928821606,-40.583811623883705,-520.936609650776,522.5150687208626,-94.45465703398165,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-59.429940271275655,1.1789294141762239,1.091186264404675,FAIL,1.6066290277945718,0.5154427633898968,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_minus_90_plus_gradient_end,"Rotate only the time-pressure force component by -90 degrees, then add pressure-gradient and end-contour.",1.67,3.019368928821606,-288.79730737109986,-821.1544817500595,870.4588259320519,-109.37660416420742,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-44.507993141049894,1.963980706303454,1.4338703156512065,FAIL,1.6066290277945718,0.17275871214336536,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_omitted_gradient_end,Omit time-pressure and retain pressure-gradient plus end-contour.,1.67,3.019368928821606,-164.69055949749176,-671.0455457004177,690.9595536585107,-103.78920634383314,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-50.09539096142416,1.5589838276018482,1.1959176219199272,FAIL,1.6066290277945718,0.4107114058746446,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_time_plus_gradient_plus_end,Current Eq.30/Eq.32 component composition: time + pressure-gradient + end-contour.,2.23,4.031851922917474,102.96935232482653,-1061.7901884251962,1066.7713399572601,-84.46094123840346,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-67.85469427160037,2.422819507834207,2.2457644291819756,FAIL,2.2457644291819756,0.0,current_time_pressure_phase_baseline,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_sign_flipped_plus_gradient_end,"Flip only the time-pressure force component, then add pressure-gradient and end-contour.",2.23,4.031851922917474,-432.3504713198101,-730.3434246429853,848.7216551789555,-120.62478704661713,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-31.690848463386715,1.9275915145707756,1.1980204383659598,FAIL,2.2457644291819756,1.0477439908160158,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_plus_90_plus_gradient_end,"Rotate only the time-pressure force component by +90 degrees, then add pressure-gradient and end-contour.",2.23,4.031851922917474,1.0328223936136247,-628.4068947117725,628.4077434623076,-89.90583121962095,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-62.40980429038288,1.427221076070109,1.30955761560677,FAIL,2.2457644291819756,0.9362068135752055,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_minus_90_plus_gradient_end,"Rotate only the time-pressure force component by -90 degrees, then add pressure-gradient and end-contour.",2.23,4.031851922917474,-330.4139413885972,-1163.726718356409,1209.7244511377476,-105.85069896687416,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-46.46493654312968,2.7474903848072927,2.182606170047157,FAIL,2.2457644291819756,0.06315825913481854,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_omitted_gradient_end,Omit time-pressure and retain pressure-gradient plus end-contour.,2.23,4.031851922917474,-164.69055949749176,-896.0668065340907,911.0755743404607,-100.41432098535844,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-51.901314524645386,2.069207891085413,1.6517097233767581,FAIL,2.2457644291819756,0.5940547058052175,time_pressure_phase_candidate_improves_without_closure,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
