a1_inner_candidate_name,a1_inner_candidate_status,a1_inner_green_identity_status,a1_inner_green_identity_validity_status,a1_inner_changed_eq23_terms,a1_inner_hypothesis,geometry_name,potential_name,panel_count,semiaxis_y_m,semiaxis_z_m,inner_a_scale,inner_b_scale,inner_diagonal_sign,residual_norm,relative_residual,max_abs_residual,phi_norm,phi_n_norm,a_phi_norm,b_phi_n_norm,relative_tolerance,diagnostic_status,gate_role,is_hard_gate
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_y,32,1.0,0.5,1.0,1.0,-1.0,0.570724876455895,0.06449973591529719,0.1939072202646015,3.9807389066887877,3.265986171969436,8.84848392566113,8.306583437546808,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_y,32,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.09083368523346691,0.02281829764841903,0.030861292606320367,3.9807389066887877,3.265986171969436,1.4082799556381478,1.3220338142908423,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,32,1.0,0.5,0.15915494309189535,1.0,-1.0,6.898673433798845,0.8305067282676014,1.706867984330776,3.9807389066887877,3.265986171969436,1.4082799556381478,8.306583437546808,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,32,1.0,0.5,1.0,0.15915494309189535,-1.0,7.52678918906559,0.8506303737793379,1.9316364972016973,3.9807389066887877,3.265986171969436,8.84848392566113,1.3220338142908423,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_y,32,1.0,0.5,1.0,1.0,1.0,24.47244808555024,1.5138011946893322,6.028913264988987,3.9807389066887877,3.265986171969436,16.166223260626086,8.306583437546808,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_y,32,1.0,0.5,-1.0,1.0,-1.0,17.15413260676899,1.9386521748681698,4.32719970420201,3.9807389066887877,3.265986171969436,8.84848392566113,8.306583437546808,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_y,32,1.0,0.5,1.0,-1.0,-1.0,17.15413260676899,1.9386521748681698,4.32719970420201,3.9807389066887877,3.265986171969436,8.84848392566113,8.306583437546808,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_z,32,1.0,0.5,1.0,1.0,-1.0,0.425373600347563,0.05014825675965277,0.12499687187964867,4.057286107831991,4.618802260814423,8.482320779090394,8.249037566971108,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_z,32,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.06770031115611096,0.0166861072541632,0.01989387003067046,4.057286107831991,4.618802260814423,1.350003280883333,1.3128751045341935,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,32,1.0,0.5,0.15915494309189535,1.0,-1.0,6.90049350593687,0.8365210425960761,1.721948856577719,4.057286107831991,4.618802260814423,1.350003280883333,8.249037566971108,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
