benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,prefix,row_idx,col_idx,candidate_name,candidate_order,candidate_class,candidate_description,candidate_is_current_default,reference_value,candidate_value,current_computed_value,raw_computed_value,documented_normalization_scale,required_normalization_scale,required_scale_over_documented,candidate_abs_error,candidate_rel_error,candidate_gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,current_gate_status,candidate_over_reference,candidate_row_decision,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,current_ab_mapping_documented_eq34,0,baseline_current_default,Current A/B real-imaginary mapping with documented Eq.34 scale.,True,1.0,10.486101731065332,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,63.24067820710222,63.24067820710222,0.0,FAIL,FAIL,10.486101731065332,baseline_current_default,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,total_raw_sign_flipped_documented_eq34,1,diagnostic_global_sign_flip,Whole raw coefficient sign flipped before applying documented Eq.34 scale.,False,1.0,-10.486101731065332,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,11.486101731065332,11.486101731065332,76.57401154043555,63.24067820710222,13.333333333333329,FAIL,FAIL,-10.486101731065332,worsens_this_coefficient,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,reference_signed_abs_current_documented_eq34,2,diagnostic_sign_only_magnitude_kept,Current magnitude with reference sign; checks pure A/B sign selection without changing magnitude.,False,1.0,10.486101731065332,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,63.24067820710222,63.24067820710222,0.0,FAIL,FAIL,10.486101731065332,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,length_power_0_eq34_scale,10,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^0 regardless of DOF rotational count.,False,1.0,10.486101731065332,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,63.24067820710222,63.24067820710222,0.0,FAIL,FAIL,10.486101731065332,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,length_power_1_eq34_scale,11,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^1 regardless of DOF rotational count.,False,1.0,3.495367243688444,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,2.495367243688444,2.495367243688444,16.635781624589626,63.24067820710222,-46.604896582512595,FAIL,FAIL,3.495367243688444,improves_but_still_fails,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,length_power_2_eq34_scale,12,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^2 regardless of DOF rotational count.,False,1.0,1.1651224145628147,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,0.16512241456281473,0.16512241456281473,1.1008160970854317,63.24067820710222,-62.139862110016786,FAIL,FAIL,1.1651224145628147,improves_but_still_fails,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,per_coefficient_required_scale,99,diagnostic_per_coefficient_fit,Per-row scale raw/reference; exact by construction and never allowed as production default.,False,1.0,1.0,10.486101731065332,838.3638333986734,79.95,838.3638333986734,10.486101731065332,0.0,0.0,0.0,63.24067820710222,-63.24067820710222,PASS,FAIL,1.0,excluded_per_coefficient_fit_not_shared_convention,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,current_ab_mapping_documented_eq34,0,baseline_current_default,Current A/B real-imaginary mapping with documented Eq.34 scale.,True,2.1,10.801512660825933,10.801512660825933,1561.3589517389596,144.55002746065114,743.5042627328379,5.143577457536159,8.701512660825934,4.143577457536159,27.623849716907724,27.623849716907724,0.0,FAIL,FAIL,5.143577457536159,baseline_current_default,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,total_raw_sign_flipped_documented_eq34,1,diagnostic_global_sign_flip,Whole raw coefficient sign flipped before applying documented Eq.34 scale.,False,2.1,-10.801512660825933,10.801512660825933,1561.3589517389596,144.55002746065114,743.5042627328379,5.143577457536159,12.901512660825933,6.143577457536158,40.957183050241056,27.623849716907724,13.333333333333332,FAIL,FAIL,-5.143577457536159,worsens_this_coefficient,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,reference_signed_abs_current_documented_eq34,2,diagnostic_sign_only_magnitude_kept,Current magnitude with reference sign; checks pure A/B sign selection without changing magnitude.,False,2.1,10.801512660825933,10.801512660825933,1561.3589517389596,144.55002746065114,743.5042627328379,5.143577457536159,8.701512660825934,4.143577457536159,27.623849716907724,27.623849716907724,0.0,FAIL,FAIL,5.143577457536159,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,length_power_0_eq34_scale,10,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^0 regardless of DOF rotational count.,False,2.1,10.801512660825933,10.801512660825933,1561.3589517389596,144.55002746065114,743.5042627328379,5.143577457536159,8.701512660825934,4.143577457536159,27.623849716907724,27.623849716907724,0.0,FAIL,FAIL,5.143577457536159,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,length_power_1_eq34_scale,11,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^1 regardless of DOF rotational count.,False,2.1,3.600504220275311,10.801512660825933,1561.3589517389596,144.55002746065114,743.5042627328379,5.143577457536159,1.5005042202753107,0.7145258191787194,4.763505461191462,27.623849716907724,-22.860344255716264,FAIL,FAIL,1.7145258191787194,improves_but_still_fails,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,length_power_2_eq34_scale,12,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^2 regardless of DOF rotational count.,False,2.1,1.2001680734251035,10.801512660825933,1561.3589517389596,144.55002746065114,743.5042627328379,5.143577457536159,0.8998319265748966,0.4284913936070936,2.8566092907139575,27.623849716907724,-24.767240426193766,FAIL,FAIL,0.5715086063929063,improves_but_still_fails,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
