node_index,normal_displacement
0,6.638534763736895e-05
1,6.844594248308451e-05
2,7.192126275785363e-05
3,7.577077279864817e-05
4,7.903414700536748e-05
5,8.128493613566469e-05
6,8.267605926311162e-05
7,8.349009769175212e-05
8,8.364303660301402e-05
9,8.268898929481234e-05
10,8.030160868238928e-05
11,7.662012616546643e-05
12,7.201410425318336e-05
13,6.657136270281317e-05
14,5.997953634328092e-05
15,5.194801785809739e-05
16,4.257903554695389e-05
17,3.213988259116035e-05
18,2.0484456424924198e-05
19,6.867685908413211e-06
20,-9.585611496187342e-06
21,-2.932260120508748e-05
22,-5.23433246220591e-05
23,-7.857250153748413e-05
24,-0.00010793752855172952
25,-0.00013993367630082357
26,-0.00017329460952351288
27,-0.00020639956817939927
28,-0.00023813277972637575
29,-0.0002682638928675606
30,-0.0002969528982976052
31,-0.0003240532226353363
32,-0.0003490962058030774
33,-0.0003719041697796354
34,-0.0003929362003302285
35,-0.0004128441963733285
36,-0.000431801858714425
37,-0.0004494974308907832
38,-0.00046579761501088423
39,-0.0004811823935290797
40,-0.0004963536904061044
41,-0.0005115384492052413
42,-0.0005264286803930308
43,-0.0005408443935195533
44,-0.0005552203952050028
45,-0.0005702448793984331
46,-0.0005861237306429442
47,-0.0006024606785322048
48,-0.0006189182401386819
49,-0.0006357640682417794
50,-0.0006535532607777504
51,-0.000672366647889157
52,-0.0006916385406228773
53,-0.0007108216701750001
54,-0.0007300033346244353
55,-0.0007496439747371616
56,-0.0007697949151813342
57,-0.0007898664519996037
58,-0.0008092823313924106
59,-0.0008281538761825704
60,-0.0008470670898510202
61,-0.0008662677418604533
62,-0.0008853473796833207
63,-0.0009038613420224505
64,-0.0009220444628595835
65,-0.0009406444153883648
66,-0.000960077302041131
67,-0.0009800306719646322
68,-0.0010000427945772465
69,-0.00102026782904923
70,-0.001041378045633147
71,-0.0010637176656334854
72,-0.0010868428438119211
73,-0.0011100732961548858
74,-0.0011333193235567567
75,-0.0011570725818821404
76,-0.0011815771144015664
77,-0.0012063114112727449
78,-0.0012305015487518245
79,-0.001253994248754402
80,-0.0012773249393642412
81,-0.0013008954524635877
82,-0.0013243776932034602
83,-0.0013471566705586507
84,-0.001369219372459417
85,-0.0013912838736539364
86,-0.0014139800215536037
87,-0.001437172145674787
88,-0.0014603255323252155
89,-0.0014834095074433666
90,-0.0015071016507428488
91,-0.001531999090295101
92,-0.0015578878093241055
93,-0.0015840509746768057
94,-0.0016102005908597019
95,-0.0016367771807129137
96,-0.0016642173687970536
