benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,prefix,row_idx,col_idx,matrix_cell,diagonal_kind,row_family,column_family,candidate_name,candidate_order,candidate_class,candidate_description,candidate_group_key,candidate_group_size,candidate_group_scale,reference_value,current_computed_value,candidate_value,required_scale_to_reference,required_scale_over_candidate_group_scale,candidate_abs_error,candidate_rel_error,candidate_gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,current_gate_status,candidate_row_decision,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,33,diagonal,heave_force_row,heave_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,1.0,16.394477563243775,16.394477563243775,0.06099614923027424,0.06099614923027424,15.394477563243775,15.394477563243775,102.62985042162518,102.62985042162518,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,33,diagonal,heave_force_row,heave_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,2.1,31.34727614033032,31.34727614033032,0.06699146651846452,0.06699146651846452,29.247276140330317,13.927274352538246,92.84849568358831,92.84849568358831,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,A,2,4,35,coupling,heave_force_row,pitch_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,-0.2,-7.911851848703237,-7.911851848703237,0.025278531982721626,0.025278531982721626,7.711851848703237,38.55925924351618,128.53086414505395,128.53086414505395,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,B,2,4,35,coupling,heave_force_row,pitch_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,0.13,3.8679513852529435,3.8679513852529435,0.033609522729691366,0.033609522729691366,3.7379513852529436,28.753472194253412,95.84490731417804,95.84490731417804,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,A,4,2,53,coupling,pitch_moment_row,heave_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,0.15,3.9063484888582534,3.9063484888582534,0.038399031839538196,0.038399031839538196,3.7563484888582535,25.042323259055024,83.47441086351675,83.47441086351675,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,B,4,2,53,coupling,pitch_moment_row,heave_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,-0.1,6.053015447462404,6.053015447462404,-0.016520691359200618,-0.016520691359200618,6.153015447462404,61.530154474624034,205.10051491541347,205.10051491541347,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,A,4,4,55,diagonal,pitch_moment_row,pitch_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,0.063,-2.7635076934676617,-2.7635076934676617,-0.022797114026104744,-0.022797114026104744,2.826507693467662,44.86520148361368,299.1013432240912,299.1013432240912,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,B,4,4,55,diagonal,pitch_moment_row,pitch_radiation_column,current_default,0,baseline_current_default,No fitted family scale; preserves documented Eq.34 and current pressure assembly.,current_default,8,1.0,0.09,1.3097539554180513,1.3097539554180513,0.06871519618451813,0.06871519618451813,1.2197539554180512,13.552821726867236,90.35214484578157,90.35214484578157,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,33,diagonal,heave_force_row,heave_radiation_column,single_global_scale,1,diagnostic_global_shared_scale,One least-squares scale shared by all eight Wigley III coefficients.,all_coefficients,8,0.06058909697676255,1.0,16.394477563243775,0.9933265909627349,0.06099614923027424,1.0067182426182686,0.006673409037265099,0.006673409037265099,0.04448939358176733,102.62985042162518,-102.58536102804341,PASS,FAIL,improves_this_coefficient_only,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,33,diagonal,heave_force_row,heave_radiation_column,single_global_scale,1,diagnostic_global_shared_scale,One least-squares scale shared by all eight Wigley III coefficients.,all_coefficients,8,0.06058909697676255,2.1,31.34727614033032,1.8993031540238285,0.06699146651846452,1.1056686740876407,0.20069684597617155,0.09556992665531978,0.6371328443687986,92.84849568358831,-92.21136283921952,PASS,FAIL,improves_this_coefficient_only,false,diagnostic-only until one equation-traced shared coefficient-family scale passes every Wigley III coefficient without per-coefficient fitting,diagnostic_coefficient_family_scale_exclusion_not_hard_gate
